text,sentiment
yea once me and my friends flew out to amercia to see her w the jonas brothers have u haha i hate bebo p aw cant wait,neutral
fun day,positive
if you click on settings there is a link to the public timeline at the bottom of that page,neutral
feel all right,positive
good,positive
fake asses,negative
awesome new phone from sony ericsson i am now berryd like,positive
what are u doing now,neutral
had so much fun today,positive
beautiful,positive
we want to trade with someone who has houston tickets but no one will,neutral
sick,negative
a satisfied but hurting nellie ow blisters,neutral
helpful,positive
wow i just install twitter fox i am tired to keep refresh my browser,neutral
happy,positive
reception food at long beach graduation no,neutral
youre back,neutral
you are the sweetest love you cuz,positive
broken my leg,negative
familiar,positive
truly like what,neutral
thanks,positive
me too need some tour dates stat,neutral
no invert call tree button to be found,negative
wee internet is back here at home,positive
staying home to work on a linoleum block carving for a project due tomorrow there will probably be pictures,neutral
yes,neutral
we need men to give their input too so ill fill u in on the time very soon,neutral
messed,negative
starting to wonder if im going to get this job came across as though id find work elsewhere if needs must not intentionally,neutral
like u said give tc a chance we will miss thomas but have to move on so watch this,neutral
is up early to send someone off at the airport,neutral
day of back to work day went allright i was only exposed to the swine flu for hours so thats ok i think just wash my hands,neutral
i really did over react and do the worst,negative
my heart goes out to you,negative
good,positive
stupid,negative
thanks night,neutral
leo carillo beach and will rogers state park are on the list of state parks that might close,neutral
my finger hurts lmao,negative
hi its not about howmany people follow you its about how much you help others,neutral
the weather may makes it cause temp fell down to from which were yesterday,neutral
bad,negative
hungraay ill just eat dont go away twitter lunch,neutral
goodnight ps thanks for jailbreaking my ipod stacie,neutral
ugh i have got to stop biting my nails grr,negative
well then you should come nigguh only thing is i may be going to like phuket or bali afterwards,neutral
,negative
wow,positive
doesnt sound very good,negative
for me theyre not,neutral
dont you procrastinate like i do,neutral
muji yipee is anybody coming here i can send them over hahaha but can somebody bring jts bsg disks haha,neutral
t sucks,negative
yay,positive
macarena never looked so good loved,positive
just for fun jessica alba weekly twitter follower count this is starting to look like a movement,neutral
cute,positive
morning my awesome brudder,positive
thank,positive
good luck wi,positive
i so feel neglected,negative
cant sleep,negative
exam at,neutral
bad,negative
im wishing,positive
have funn,positive
miss,negative
luckily,positive
dave meany,neutral
well i guess it all dependsundergarments,neutral
has been fun,positive
worried,negative
happy mothers day mommy and grandma haha ily,positive
i want to know who is that i tried to ask pkia but he still not reply me but now he change his status to away,neutral
was yeah work in hrs how you,neutral
help,negative
were one but were not the same we get to carry each other,neutral
make your own google search page with your name,neutral
thankyou,positive
snapped his poor neck gotta bury him,negative
since all the fun happens when im asleep,positive
no way what about sydney yeah you guys are like the semiolder version of short stack however with the same talent,neutral
thanks,positive
not feeling it just left the glasses on peace and unity,neutral
will you guys keep voting for her and ask ur followers to help to only left before competitions close,neutral
im playing left dead with my friends gilbert and louie its so fun happy mothers day to all your moms,neutral
waiting around for boyfriend then off to queens looks like its going to pour here in dt bklyn umbrellaless,neutral
you are an absolute legend love love love it,positive
i just lost a fight against on tweefight i lost please revenge me try now httptweefightcomopphangy,neutral
lovee,positive
bullhorn tell ur friends follow me come onn ppl,neutral
going to see my grandad today,neutral
i cant deal,negative
feel crappy today,negative
has made up her mind,neutral
not good,negative
sunday feels great,positive
im sorry youre sick,negative
hate,negative
doggone it i only got an hour nap in i really want some ponderosa chicken wings,neutral
fan,positive
thankyou,positive
i couldnt come to see you in southend on the as i couldnt get the tickets ill have to come see you when you solo tour,neutral
what dey do homie i wish it would stop raining already plus my vacay is almost over,neutral
working on the climb season episode,neutral
im bored,negative
suffers,negative
i miss my brothers,negative
the link doesnt work,negative
good,positive
im officially done with school til fall,neutral
it didnt start as a long message it just got longer when i wrote it,neutral
i feel ya pain ive got myself a nasty cold too get better soon,neutral
almost lunch time,neutral
aww such a cutie,positive
thanks,positive
happy mothers day and for single dads who plays both mom and dad role enjoy your day too,positive
very good day,positive
i am going to cry all the way home,negative
nicee,positive
smeared,negative
wonderful,positive
wow its definitely friday the gym is completely empty what to do id like to play the wii but i guess ill vacuum,neutral
so why the hell are we going to school for hours next monday and tuesdaydumb snow days and thier lame rulesmy mom making me go,negative
dana just found out she doesnt get to take lunch now but rather in an hour hello delivery,neutral
stupid,negative
wow my god the whole ui is soo much snappier,neutral
ha im so glad it stopped raining my umbrella broke today,neutral
late,negative
i like ur mommas style,positive
great,positive
morning darlin hope youre feelin tiptop,positive
guys nothing is free in life where is my shidduch money,neutral
ohh how lovely im glad that you had a great time there,positive
i dont think the coffee at work agreed with my tummy,negative
thanks carry on the craziness again,positive
good luck with your auction,positive
watching the cavs,neutral
some guy just said he wanted to spank me,negative
me too no one even liked my answers to life last night,negative
time to do some revision while listening to albums nonstop all day again,neutral
lucky,positive
well see craig might just hog u guys haha i work till tonight anyways,neutral
thanks for your share tonight,positive
i wish i was in jonathon ross audience right now,neutral
it should be a good day,positive
yeah ok thatll probably happen too,neutral
r im excited anyway,positive
broken,negative
love,positive
cordon morning done a bit more i do have weeks to go but am trying to get most of it done in advance hows you,neutral
haha i remember that that trip was fun i miss miss miss miss miss chu,neutral
badly,negative
happy,positive
sorry your day was so bad gettin the drink on good plan,neutral
thanks,positive
i love these clutches,positive
unfortunately,negative
nite tweeple tomorrow will be day at work,neutral
oh no not difficult,positive
we will work on that mama sweetdreams,positive
ugh,negative
one of my excellent designers,positive
twitter connected with facebook,neutral
too long,negative
yeah me too,neutral
youre telling me,neutral
has her mind abuzz re advertising industry standards dont hate me because i like maths ok,neutral
lost,negative
k its slices left,neutral
as it is now my body has already developed a mind of its own but that mind refuses to cooperate with set schedules,neutral
i cant go back to sleep,negative
aww cant wait to have you back in la,positive
exploring twitters world me,neutral
wondering why im awake at a new songplotting my evil secret plots muahahahaoh itnot secret anymore,neutral
ive lost my pocket knife suggestions for replacing a ken onion chive,neutral
all work no play,neutral
lol you can see the sunburnn its not achurley that bad least i dont think it is,neutral
writer aww no which one,neutral
delicious,negative
it was pretty cool the kids and the adults had fun,positive
i gave a homeless lady named ruby an ice cream sandwich and a cigarette that is my deed for the day p,positive
not an easy problem,negative
hates,negative
happy,positive
very bad dream,negative
been sick all week and still not feeling so well,negative
i am up and feeling pretty gud i dont even have a hangover what a nice feeling,positive
what to sa,neutral
my bad jst scratch wht i said im talking nonsense here lol enjoy the perfs,neutral
yep still a few seats left for pracc workshop w see you ther,neutral
hehe yeah but too late hun,neutral
fun,positive
is chatting with willy valdez about comics,neutral
pretty amazing weekend so far but its bedtime im exhausted mothers day tomorrow nighty night,neutral
i think shell pull through,neutral
i need plans no one can hang out tomorrow boo,neutral
i wanna go there where you go i wanna find out what you know david and mileyy,neutral
greg pritchard should have got threw to,negative
ahhaa is gunna get straight back on it,neutral
thanks,positive
,negative
best,positive
like,positive
hmm i wonder how she my number,neutral
noo,negative
i agree,neutral
feelin lonely,negative
yeah next time,neutral
appreciate,positive
chili night in minneapolis i refuse to turn the heat on in may,neutral
i like,positive
go away,negative
spending a wonderful mothers day with brad mom and dad happy mothers day to all moms,positive
just finished baking some cinnamon rolls soo yummy,positive
how was the ice cream,neutral
i dont know you but you made me lose,neutral
happy stars wars daymes a jaja binks ha a crappy day outside though ah well makes me have a bit more motivation to revise,neutral
week before the palm pre comes out and my centro dies i have a temp phone but my contacts arent transfered yet sadpanda fb,neutral
im on msn now,neutral
win,positive
in a philosophical mood tonight wandering round after dark does that for me,neutral
theres no such thing,neutral
awesomeness,positive
very nice,positive
today is my last official day of uni no more balancing uni work with music til october atleast,neutral
overthought,negative
fun,positive
very happy,positive
hard,negative
i am braid free i miss thee blond here i come,neutral
almost cases of swine in australia hope may still decides to come visits me,neutral
chica two more days i want the us elle too,neutral
rap battling at second sat now at the moviess haha i swim in a lake of sex matthew m ghosts of girlfriends past,neutral
t lovees,positive
and im listening,neutral
first weekend at home,neutral
jungle book mary poppins or bugs life depending on if you want cartoon live action or cgi,neutral
good,positive
love,positive
thats my baby,neutral
missing,negative
ugh going to skool,neutral
bluedart takes a shipment all the way before figuring out no deliver and then bring it back databases anyone,neutral
lol biking is manly,neutral
good,positive
sorry,negative
z i really dont want to,negative
microsoft announced windows release candidate download available tomorrow,neutral
now or never makes me cry everytime lol,neutral
black russians makes me think of a white russian and this movie quotation that rug really tied the room together,neutral
had fun at,positive
once i hit christian in the head with a metal bat haha he then socked me in the eye haha i miss being a reckless little kid,negative
shame on me,negative
on maxim magazines hot of,neutral
i guess it wasnt meant for me to change it,neutral
terrible,negative
am in the place called of now where take me out from here somebody,negative
having dinner at the crown at south moreton with david and a stroppy teenager,neutral
did you get my text,neutral
good,positive
time to add some more rfided object to send messages to twitter everytime i use them more coffee cups armani code pantone mug,neutral
its httpchelseavantoletsycom xo,neutral
oh plzz,negative
with emma going see diversity today o x,neutral
i learnt something new today,neutral
so sad,negative
you said your getting mcflys live album whats it called,neutral
i saw the best back combed poofy bangs this morning on a in high by the time i turned around she was gone no picture,neutral
i need one too,positive
aam these dogs are going to die if somebody doesnt save them,negative
from gs to gents season,neutral
yep,neutral
after a great day at work with the kids disappointment with my roof decal,neutral
feeling extremally ill,negative
my respect for travis clark has gone down,negative
twitter you suck,negative
thing about living is that there are always undeveloped pictures in your future,neutral
you know what it is to see people you love most in his country and could not get closer,positive
i have to be at work at am thanks to me ppl will be getting their freakin starbucks peace out ppls,neutral
just realized all his fantastic nerdfriends no longer live in rochester,neutral
its like bucks for shots what kind of camera do you have,neutral
cricket beer and sunshine very good well apart from the beer cause im on tablets,positive
it says los page doesnt exist,neutral
well get hitched when you get here,neutral
fun,positive
hates,negative
cant wait to leave work,neutral
so tired af,negative
cant wait a real bed,positive
goodmorning,positive
dirty,negative
lovee,positive
chillin,positive
too freaky,negative
i feel like tweeting you for no reason,negative
pity,negative
feeling enthused,positive
yess a rocket to the moon is going on warped,neutral
flu,negative
burning my tongue on won ton soup,neutral
weathers ugh something like asthma so,negative
no its pre made jelly and its for me and bradie,neutral
problems,negative
i kind of miss a certain someone already and i never get to see him again,neutral
is needing to make a new video,neutral
hey peter thanks for the follow so many sydney pastors tweet shame no bris pastors are on twitter were behind,neutral
good,positive
how exciting,positive
all is goodhappy mothers day,positive
excited,positive
love,positive
wants to cool down,positive
is trying to buy a new biblebut they just arent the samewhy did my dogs have to chew it up,neutral
it never started,negative
kicking back at home,neutral
hates me,negative
summaas coming,positive
job hunting yay,neutral
up i slept in till shooting a new vid today,neutral
with sean s watching house of a thousand corpes,negative
is moving out of nesbitt,neutral
love,positive
sweet,positive
haha not always just a for a friend but ive been here some times thats why i know basic japanese,neutral
pride,positive
hacked,negative
just watched terminator and i cried its the one movie that makes me cry for some reason when arnie dies,negative
or even listen to susans green policies,neutral
you always catch me away from my computer,neutral
its a good hurt,positive
i want you all here with me too yal shoulve gone with rm,neutral
joke,positive
ack of course im a person but i think knows tha,neutral
i can give you the contact of the person who makes those cheesecakes,neutral
counteract frustrating but not discouraging,neutral
i hate being sick,negative
thank goodness for starbucks iced coffeei was feeling so sluggish today i think its this awful la weather,neutral
wiped,negative
hit the wall,negative
hopefully,positive
grrh,negative
i love it to but i knw there gna cut stuff out on tv,neutral
memorizing the first lines of the general prologue of the canterbury tales ughh,neutral
i hate working nights cos im not really able to enjoy this gorgeous weather as i will be asleep,negative
and we have your fabulous interracial woot,positive
got a day of painting,neutral
yep days whoop,neutral
that would be perfect,positive
yeah i agree it does btw check out linuxoutlaws,neutral
glad,positive
amazing,positive
following keep me updated for the latest dance scene event,neutral
its a date,neutral
the best part,positive
im feeling so weak and tired,negative
no months,neutral
foolish,negative
hope,positive
i want tuna salmon sashimi bc rolls and dragon eye,neutral
d it absolutely ruled,positive
getting dizzy going to have to lower my original raise please dont think any less of me,negative
i couldnt respond cuz i maxed out,negative
i gots the sniffles,neutral
its under a honeymoon by the good life,neutral
i really should put up a pic i guess,neutral
cough drops taste grossblaaqhh,negative
i cant stream videos on my phone,neutral
pain,negative
sunday is runday outta bed and onto the road,neutral
loving my sunday so,positive
me again,neutral
why do i look so awesome in heels yet am so afraid of them,neutral
i feel like i havent talked to you in a really really long time,negative
cause im not hearing from you guys,neutral
get into terminal and kill it which is really what force quit should do,neutral
great,positive
we spell it the best,positive
its not the internal fuse either poop might have to get the spare out of the loft although that might be a job for people,neutral
sad,negative
waves to make it all ok again,positive
shamed,negative
life is good,positive
poor girl,negative
a friend uses logic and i must admit i did like itbut i dont have a mac,neutral
i just crashed,negative
thanks for pointing out the crucial problems both of them have been taken care of c,positive
name,positive
omfg,negative
fun,positive
lol yeah well same applies to the grocery store,neutral
grats to aaron and christine,neutral
love,positive
no evr brngs me a starbux,neutral
is stuck in traffic,neutral
i want to go to vp but no one is willing to come with me,neutral
i like your hr shirts,positive
beautiful,positive
cannot waste my parents money nt fair,negative
nice,positive
err i get that now with the timthumb whats with the url,neutral
,negative
still has half a math worksheet science wb pages worksheet and english to go feels a sniffle and dry eyes coming along too,neutral
kay planted in the garden last week ive got to check on it,neutral
i am a huge mitch fan,positive
thats ok then i accept the slave role your wish is my command hahah,neutral
tired,negative
an expense i could do without at the moment,neutral
so expensive,negative
unfortunately,negative
won,positive
i dont want to apply for jobs,neutral
rubbish,negative
just woke upbusy busy busy bbyshower cupcakes and jays bday cake bleach hair again see my boo,neutral
i cant really say much because none of it is set in stone but im planning a charity concert for cystic fibrosis,neutral
had a life changing redhead she got away,neutral
i have major cramples,negative
b super,positive
hey yall we are waiting for final edits on our cover of sombodys baby cant wait for some inpu,neutral
good,positive
tired,negative
saw a costa in st pancras but didnt have much time to have a drink over there next time ill try,neutral
wrong size,negative
mcflyy finaly my chance has came to kill you mwahaha ha not cool ha,neutral
bad,negative
unsurprised,negative
need a nap but i have to take trains now,neutral
im absolutely exhausted,negative
pen jam cleared click,neutral
cute,positive
sense,positive
then your gaay,neutral
i love her so,positive
early mondaygreat rainy mondaynot so great,negative
wonders when all of these end,negative
oh its so beautiful,positive
better then her getting mad and using the floor,neutral
forgot,negative
good,positive
that made me laugh sorry grets,neutral
good night cant believe tomoroo is cancelled but still gonna be a giid night gni cant beat them,neutral
today is way too stressful,negative
gah,negative
yeah we actually went in the room they were at i just didnt look under the counter where they were,neutral
happy,positive
take me away,neutral
happy mothers day,positive
hope,positive
ill go to the movies with you,neutral
i will post it later its not on my comp,neutral
aww wish i was there,positive
wanna,positive
diet is working great,positive
omg,negative
love,positive
gimme some i wanna try it soulja boy tell em live live,neutral
youre welcome of course,positive
may,positive
whew,positive
ugh im crying again writing a rant about it on tumblr,negative
not even better,negative
d absolutely loved it,positive
while having some fun,positive
so has anyone had that yucky new throwback pepsi and mountain dew yet if they plan on keeping it around i will not be drinking it,negative
getting sick ugh im losing my voice,negative
they make my gums hurt,negative
finally got the sleep i needed,positive
down,negative
heading south on jacked mess around sr,neutral
i wud do but im at work srry,neutral
i just got my leavers do dress,neutral
when you know u aint done the wrong,positive
died,negative
lunch,positive
ne just doesnt want to work,negative
my new design portfolio is finally online httpwwdesignianl still needs some tweaking on the details but its ok for now,neutral
e crazy,positive
sad,negative
h thank you,positive
hopefully,positive
mm athletic,neutral
missing,negative
playing monopoly jr with the lil one cheating isnt as much fun when the other person has absolutely no idea,neutral
fail,negative
super great flick though,positive
this website gave me a virus,negative
sarcy,negative
i skip school way too often im rather proud actually,positive
liking your style alice,positive
why do you guys use camera angles that make it look like there are only people in the building,neutral
love,positive
i got paint in my hair,neutral
e hope,positive
super duper excited,positive
crazy,positive
hurt,negative
dropped,negative
nobody loves me on twitter,negative
finn except i dropped him on my break and now hes got a ding in his side at least it wasnt the screen,neutral
good,positive
so funny,positive
nasty,negative
switch to something else then,neutral
ahh it was so amazing and i am now in love with david archuleta,positive
gettin ready,neutral
i dont think you can vote anymore,negative
bother,negative
dont panic hehe it will be fine email it to me,neutral
iight thanks,positive
constructivist learning theory anybody oh wait theres always wikipedia right,neutral
most epic we,positive
yes lol,neutral
but can you breathe ok,neutral
love,positive
stupid,negative
good morning yes is,neutral
there is a baby cardinal fallen out of its nest i dont want to get attacked by the mom bird but i dont want the dog to get the bird,neutral
y i miss you too,negative
kmf going smoothly so far free stuff is always a plus,positive
hoping,positive
oh no but that means that you wont be able to get pwned by my shottie this weekend,neutral
we dont really offer that service as were webgraphic designers and not desktop publishers so i thought maybe you could help,neutral
sunny day going down to stonehenge with my parents,neutral
miss,negative
west one day the hubs and i will take one of those theres actually a missions cruise that we want to go on it has music too,neutral
oh and i hope miller has a better day too,positive
bummer,negative
just because youre a superstar it doesnt mean you have to do that,neutral
watching hgtv at lol wtf must love me some home decor,neutral
in bed eating chocolates after super parties yay playing with the new camera could i be an amazing photographer,neutral
yeah that will keep my mid section down,neutral
for me everything ok except install crashed at the end and now safari crashes at every cmdq,neutral
omg i had that book its soo funny,positive
hope u had a lovely time away,positive
ds amazin,positive
heyy watching the simpson with shezza and paula,neutral
hi add me its shannen,neutral
im so jealous,negative
hey twitter im back online,neutral
i love providence,positive
happened to me the other day was wearing a necklace that made a white spot on my chest,neutral
never touched a drop me,neutral
is a college graduate,neutral
hate,negative
it was crazy all day today and i have a feeling its going to be that way tomorrow too enjoy your couple of days off though,neutral
pretty tired after a nice full day,positive
i like,positive
thanx very much,positive
has gone through about tea bags call me obbsessed i say thirsty,neutral
molecule where is sackiroth,neutral
perfect,positive
feeling like today hopefully,neutral
may the be wit,positive
wah why are you sad,neutral
sad,negative
thanks this one will be a hit,positive
its time for tscc,neutral
had great time,positive
whole earth festival,neutral
check out this funny movie,positive
so lost on my owm tryinh to find matter in the,neutral
s worth,positive
happy,positive
woo,positive
beautiful,positive
i just broke a bottle i should probably focus on work instead of thinking of more songgoeswrongs,neutral
whoa man now that was a great one i went to heaven for seconds u know why lah but pls shh lol so sorry u werent there,neutral
my car is in the car hospital for the nxt days i gotta go pick up a loaner car bein without wheels will set me back heavy,neutral
ouuhh dont cry i feel so sad right now,negative
i had to find out via twitter,neutral
not good,negative
another amazing night,positive
httpbitlyqipuu jon lakers video blackberry,neutral
all the photos nicee,positive
a relaxing,positive
i just got mine but it wouldnt let me call you,neutral
why you never answer me,negative
sunny im a workin on it its very much in progress will let you know when its up,neutral
and a few more,neutral
on the bus to nyc,neutral
were gonna miss you dont worry there will be more for sure,neutral
sick,negative
overreaction,negative
a chilled day party tomorrow,neutral
ugh and its soo pretty outside,positive
funniest,positive
too bad,negative
you can explore the site and find cool stuff,positive
annoyed,negative
sorry we keep missing each other,negative
blessings and jo,positive
is now back at the school working on the bachproject,neutral
or least for the firmware upgrade just buying some time until i get my tax return really,neutral
suck,negative
i dont like chris,negative
thanks,positive
awesome,positive
chapman whuffaoke is the same night as at gillette stadium,neutral
madly in love,positive
babysitting text me and keep me company,neutral
miss,negative
happy mothers day,positive
supposed to be good,positive
thank,positive
cant read it,negative
whee,positive
passed away,negative
this wraps it up well again a lesson that you shouldnt take photos of yourself when youre famous or maybe you really should,neutral
twitterfacebookmyspaceno phone still,neutral
wanted to take a photo of the storm but misplaced my camera,neutral
indeed have a nice week,positive
good,positive
youve made me look at old pictures of my cats i want them to be kitties again,neutral
thanks for the review,positive
well its after and i didnt get a call back oh well,neutral
so white now,positive
horrible experience,negative
just got sold out from up,neutral
dont count on it,negative
playing some games before i leave for work work til at least tonight,neutral
great,positive
good,positive
cant wish i was sleeping gotta be at work in less than hours wait whatre u doing up,neutral
have fun,positive
give me a chance,positive
puncture,negative
favorite,positive
what are you reading,neutral
you rhinitis,negative
day of pain,neutral
sweet,positive
a omg you win,positive
sadd,negative
d without em,negative
headache and colds,negative
dont have an appetite,negative
is gonna bleed all of us dry,negative
now relaxed and well rested,positive
i had hoes now i have none,neutral
im a bit bored,negative
love yoouu,positive
shes so cute,positive
wow thats impressive luckily im not in rush but i feel for friends who arent getting any younger but cant move house tricky,neutral
good,positive
heyy boo,neutral
goodnight,positive
maybe you need to start a wholey created by evolution or wholely composed of matter flickr group,neutral
fun,positive
happy mothers day to all mothers out there,positive
and figuring out how to watch middlesbrough games next year after the dreaded drop,neutral
is jealous of his family their all having an amazing breakfast and all i get is rice crispies,neutral
maxin and relaxin almost bed time,neutral
best,positive
in the university with hungry,neutral
kids out for summer pool has been taken over no more tanning girls haiku yayschoolisout sarcasm,neutral
sucks,negative
happiness is like peeing your pantsnobody can see it but only you can feel its warm sensation,positive
soo tired,negative
i dont get twitter someone help me,neutral
i know u r i wont be there til the servicewill u be there,neutral
this is pretty helpful and kinda cool actually,positive
its raining,neutral
not at my workplace but a shortsleeved shirt is absolutely necessary today,neutral
i miss my long hairr,negative
i want somelol i got the coffee ha ha,neutral
finally upgraded to spotify premium exceeded my threshold of awesomeness some time ago,positive
good,positive
i like jackets,positive
recogns he could get his assignments out of the way by june bring it on,neutral
better get some sleep soon she has to get up and go to sunday meetin so she can pass out invites to her jewelery party,neutral
congratulation,positive
you can go to wwtwitpiccom and log in with your twitter details to add pics,neutral
hey not much you,neutral
sick,negative
working mad hard,negative
love,positive
download iemoticons from the appstore but cool,neutral
relaxing,positive
hi kendra whats up follow me,neutral
relaxing night at home with best people,positive
anyone having twitter issues its eating my tweets,neutral
miss,negative
depressing,negative
wish,positive
its too warm,negative
ys gre,positive
ok im actually going to sleep now ive been on here only an houri tweet far too much already,neutral
thanks for following pretty complicated id you have there lol,neutral
ur taking tease lessons from the guys no fair lol oh well well wait as patiently as we can,neutral
i miss you too,negative
going to take my sociology exam and back to bed,neutral
going to bed soon,neutral
wow i feel like ish and i really feel bad because those ignorent aholes wont overturn prop,negative
no where im working for a bit up here,neutral
positive,positive
happy,positive
worried,negative
your blog wont let me post a comment,negative
havent ate today,negative
feel so depressed that i couldnt save it thanks for nothing,negative
hopefully,positive
yeah i work days,neutral
i used to row in high school and just found out there is a rowing club ten minutes away from me so i thought i should sign up,neutral
tom get ready here in porto alegre is really cold,neutral
name,neutral
more coffee,neutral
youve go mail,neutral
my monday starts on friday but least i only work days a week long days,neutral
next time i might not get there this time if the bus has anything to do with it,neutral
good morning hun,positive
exhausting,negative
sorry,negative
back at homes hmm i rly am going to miss my boo for days like wtf,negative
thank you for the rec but that doesnt work,neutral
tiring,negative
sorry,negative
youre going to the uk take me with,neutral
im really excited,positive
was in palawan a couple of days ago ill try to post pictures tom,neutral
clive its my birthday pat me,neutral
no new episodes for hitman reborn yet,neutral
yay,positive
mucking about on guitar rig the demo that is,neutral
good,positive
sore,negative
wat a nice day it was and rachel decided to walk to work and walk back lolwas so warm inside tho,positive
motivated,positive
cheered,positive
tired,negative
no shoes for me,neutral
fun,positive
i will cry,negative
were not gonna be able to talk again,negative
cool,positive
good,positive
hapee,positive
pulleaase dont hate me if u ask me a question and i dont answer you at any given time i just cant see you sorry,neutral
congrats on your bike ride today very impressive indeed,positive
have fun,positive
eventful,positive
ohh,negative
dying on me,negative
shame,negative
so ill have a few free days a week ill hit u up,negative
my little booboo is sick,negative
happy mothers day,positive
you cant please everybody,neutral
it hurts so bad,negative
wow hehehe mushymushy mode,positive
eh its cold,neutral
hope ur lookin,positive
thanks,positive
class color day tomorrow last time i have a lot to remember for tomorrow but i bet ill forget,neutral
good,positive
your post reminded me to sit something out looks like steak for dinner,neutral
sturday night live,neutral
i wov you,neutral
badly,negative
ok i believe youbut i have a belly buttonlol,neutral
wow thanks a lot,positive
no wayy thats too funny well he sure is missing out but ever since you left i feel i am too when is your next visit,neutral
aarrgghh,negative
looks same in noida too,neutral
attacked,negative
just completely lame im sorry dude,negative
we watched that one day in the middle of playing it really doesnt hold up,negative
charlotte we should there will be another thrown im sure but this one will be with my american family,neutral
im sorry,negative
good,positive
sucks,negative
wut itell u yesterday lol,neutral
waiting at the car wash to see what they say about amara,neutral
good,positive
i think i have mine in hangers in the closet,neutral
it says the video is private,neutral
i think i been followin u bout a week so yea kinda,neutral
happy,positive
good,positive
missed,negative
sad,negative
quite excited,positive
happy star wars dayevery one,positive
dumb,negative
heading to the hospital to sort out my back not looking forward to this,neutral
i feel u but its soo close to me hard not to but i cant so no point ug,negative
love it wh,positive
cant wait to see the concert,positive
so i feel like for saying happy belated birfdayy im only a month late,negative
lead,positive
sounds good though,positive
w hope uve hada good day,positive
i want a new lappy,neutral
have a great day,positive
haha dont we ever do that before many times,neutral
is really really ready,neutral
i cant vote for you they have stopped the voting,neutral
watching jonas,neutral
same thing happens to me all the time,neutral
happy,positive
aw you named your car thats very sweet im sorry to hear that petey has to go i hope you find a really posh rollerskate,neutral
best of dreams,positive
great,positive
installing a new hard drive gotta redo everything though,neutral
officially the best way,positive
unfortunately these heffas decided to take an impromptu mall trip,negative
just saw a land rover pull into the school parking lot and thought it was spencer,neutral
raining in calicut,neutral
commercial shoot in tokyo not much time to play there quick and dirt,neutral
sims wouldnt work on my old macbook hope to get sims by tomorrow,neutral
were waiting you here in belgrade cant wait,neutral
laugh,positive
happy,positive
looks like no diamond ball for me,negative
boo hoo,positive
e doesnt try to violently,positive
early lunch then getting all dressed up for amys confirmation,neutral
thanx,positive
you might have missed my latest experiment i know blogs have too many words these days,neutral
ugh worried about my math test,negative
might just have made me cry,negative
special,positive
happy,positive
gotta love nasty weatherr so jealous ur at knotts,neutral
tierd,negative
haha good for you,positive
none to be had,negative
i dont think im very well,negative
en hope it doesnt rain,positive
broke,negative
good morning,positive
e fine,positive
should stop relying,negative
hopefully,positive
no seriously you guys i wanted to kick monday off wit,negative
just got back from carlton in greenville benz is getting serviced time to make some money i think ill make some sales calls,neutral
dammit,negative
y hope,positive
my parents sold my car,neutral
bad,negative
pleasure,positive
restrictions,negative
has ruth today,neutral
diesel yaris so sad its not available in the us thatd be awesome,neutral
a wonderfu,positive
when does it close i didnt think itd been running that long i still havent had chance to see it,neutral
oh snap,neutral
good night,positive
need someone to cheer me up,positive
bored,negative
why did i agree to work a double shift,neutral
the annual problem of r generation is finding a good way spend it,neutral
dorky,negative
hurt,negative
aww,positive
failing,negative
glad,positive
good,positive
good,positive
maudio i just remembered how much i u now the right earbud has ceased functioning my shures r bright w lame bass,neutral
no problemo,positive
and so to london in a car thats about degrees with no air con,neutral
actually sos wont be here vi will be accompanied by gliss and make me the day after brandi carlile busy month gigwise,neutral
lied,negative
but im not so i guess ill just have a cup of coffee instead,neutral
i know this season has just zoomed by,neutral
thanks,positive
love,positive
on our way to disneyland without retsi,neutral
fun,positive
poor,negative
someone fly me to reno,neutral
more packing cleaning and getting done last day in this apartment this time tomorrow my will be in storage,neutral
has a tummy ache,negative
sleepfail,negative
looking for new ideas for my blog,neutral
what a miserable day,negative
gutted,negative
less rain more sunshine,neutral
thanks,positive
are we going to be able to buy more than ticket online through livenation tomorrow cant make it to la,neutral
sucks,negative
soo romantic ev,positive
i lose,negative
noo i miss you,negative
awesome,positive
good,positive
hmph,negative
tired,negative
no tonight,neutral
nice,positive
where is the sunshinethe only thing i see are clouds,neutral
,negative
pretty much ever hp except the one i wanted to look at,positive
it isnt moving fast enough,negative
happy,positive
liking,positive
so our bums really do look big it this,neutral
boring,negative
didnt,negative
well u werent around twit,neutral
thats enough ill do nothing for hours,neutral
miss,negative
,negative
yep,neutral
sorry,negative
munch away my dear watson munch away,neutral
thats crazy why would anyone not follow you your tweets are so much fun,neutral
thank you the best to you and yours tomorrow i hope you all have a lovely day together,positive
see you,neutral
ready to go to milan see yall this evening,neutral
hanging with amber,neutral
hates,negative
fun,positive
youre not kidding when you say you have to be fast are you i was there like seconds after your tweet nothing,neutral
going to look at a bunch of open homes today just to get a feel for the market i think ive got a lot of saving to do,neutral
unfortunately,negative
y lol,positive
surely you have guessed the arbiter is no other than judith,neutral
loves,positive
yeahh dont judge my pillow,neutral
wish,positive
hurts,negative
no good,negative
cant watch anymore,negative
good,positive
cuute,positive
nauseatingly,negative
yes cold coffee from yesterday no sugar no cream the way i like it,positive
starving and alyssas mom would bring her subway,neutral
thanks still waiting i dont know whats taking him so long is it a bad sign or good sign,neutral
had a shitload of fun with her friends,positive
public bathrooms,neutral
